date, name, place
3/27/2015,Mit Martin Herzberg – Live in Aachen,"GZM – Klangbrücke, Aachen"
2/21/2015,Mit Martin Herzberg – Live in Rostock,"Barocksaal, Rostock"
1/31/2015,Mit Martin Herzberg und Stefanie John – Live in Hamm,"Jugendkirche, Hamm"
12/21/2014,Mit Martin Herzberg – Live in Dresden,"Pianosalon, Dresden"
12/14/2014,Mit Martin Herzberg – Live in Berlin II,"Gotischer Saal, Berlin"
12/13/2014,Mit Martin Herzberg – Live in Berlin I,"Gotischer Saal, Berlin"
12/6/2014,Mit Martin Herzberg – Live in Hamburg,
12/5/2014,Mit Martin Herzberg – Live in Düsseldorf,
11/29/2014,Mit Martin Herzberg – Live in Weimar,
5/10/2014,Mit Martin Herzberg – Live in Berlin,"Französischer Dom, Berlin"
